Timestamp,How old are you?,What industry do you work in?,Job title,What is your annual salary?,Please indicate the currency,Where are you located? (City/state/country),How many years of post-college professional work experience do you have?
4/24/2019 11:46:04,25-34,Manufacturing,Human Resources Generalist/Payroll Admin,60-90K,USD,"Tampa, FL",5-7 years
4/24/2019 11:46:05,25-34,Retail,Social Media Specialist,45000,USD,"Milwaukee, WI",8 - 10 years
4/24/2019 11:46:05,25-34,Specialty chemicals,R&D Chemist,"72,500",USD,Chester/PA/USA,2 - 4 years
4/24/2019 11:46:07,25-34,Journalism,Reporter,"45,000",USD,"Baltimore, Md., U.S.",5-7 years
4/24/2019 11:46:08,18-24,Government,Adminstrative Assistant,"$40,000",USD,"Nashville, TN",2 - 4 years
4/24/2019 11:46:10,45-54,Library--College,Archivist,62000,USD,Chicago,8 - 10 years
4/24/2019 11:46:11,25-34,Public Accounting,CPA,"95,000",USD,"Santa Monica, CA, USA",5-7 years
4/24/2019 11:46:12,35-44,Libraries,Academic Librarian (Online Learning),51589,USD,Oshkosh/WI/USA,11 - 20 years
4/24/2019 11:46:12,35-44,Higher education,Assistant Professor,"50,000",USD,"Cincinnati, OH, USA",11 - 20 years
4/24/2019 11:46:15,25-34,NYC Government,Press secretary,"$70,000",USD,"Bronx, NYC",5-7 years
4/24/2019 11:46:16,35-44,libraries,Content Librarian,"60,000",USD,"Fayetteville, NC",11 - 20 years
4/24/2019 11:46:17,35-44,Government,Policy analyst,149000,USD,"Washington, DC USA",11 - 20 years
4/24/2019 11:46:19,25-34,Law,Judicial Law Clerk,"$48,000",USD,"Chicago, IL USA",2 - 4 years
4/24/2019 11:46:21,25-34,School District Special Education,Educational audiologist ,"93,100",USD,,2 - 4 years
4/24/2019 11:46:21,45-54,university,librarian,61000,USD,Oregon/United States,11 - 20 years
4/24/2019 11:46:21,25-34,Insurance,Account Assistant,58000,USD,San Mateo/California/USA,5-7 years
4/24/2019 11:46:22,25-34,insurance,account manager,"44,000",USD,"San Diego, CA, USA",2 - 4 years
4/24/2019 11:46:23,35-44,Journalism,News Researcher,"47,000",USD,"San Antonio, TX",2 - 4 years
4/24/2019 11:46:24,25-34,Accounting,Administrative Assistant ,"46,800",USD,Tennessee,5-7 years
4/24/2019 11:46:26,25-34,Asset Management ,Associate ,100000,USD,"Dallas, Texas, USA",8 - 10 years
4/24/2019 11:46:26,55-64,Non Profit,IT Director,80000,USD,Ct USA,21 - 30 years
4/24/2019 11:46:28,35-44,Public Horticulture,Gardener/Horticulturist,"40,000",USD,"Brooklyn, NY, USA",5-7 years
4/24/2019 11:46:29,25-34,Health care professional Organization ,Assistant Editor,51000,USD,"Washington, DC, United States",5-7 years
4/24/2019 11:46:30,25-34,,Manager,120000,USD,,5-7 years
4/24/2019 11:46:31,55-64,Consumer Packaged Goods,Senior Administrative Assistant,62000,USD,"Princeton, NJ, USA",31 - 40 years
4/24/2019 11:46:31,25-34,University - staff role (not faculty),Communications Officer,"$65,000",CAD,Vancouver BC,8 - 10 years
4/24/2019 11:46:32,25-34,Nonprofit,Lead Human Resources Generalist,55162,USD,Seattle WA USA,5-7 years
4/24/2019 11:46:32,35-44,Lawyer,Associate,"130,000",USD,Austin TX USA ,8 - 10 years
4/24/2019 11:46:35,25-34,Politics,Research Director,"$80,000",USD,"Washington, DC",5-7 years
4/24/2019 11:46:35,35-44,Manufacturing,Customer Service Manager,72000,USD,Iowa,11 - 20 years
4/24/2019 11:46:36,35-44,Non-profit,Assistant Director of Development,70000,USD,Connecticut,11 - 20 years
4/24/2019 11:46:37,25-34,Hospitality,Accounting Manager,56000,USD,Connecticut,5-7 years
4/24/2019 11:46:38,18-24,aquaria and conservation,graphic designer,"48,500",USD,baltimore/maryland/USA,1 year or less
4/24/2019 11:46:42,18-24,Central Government ,Assistant Economist,30588,GBP,"Sheffield, UK",2 - 4 years
4/24/2019 11:46:42,55-64,Consulting,Vice President,175K + bonus,USD,"Philadelphia, PA",31 - 40 years
4/24/2019 11:46:43,25-34,Manufacturing,Marketing Director,"73,000",USD,Central Illinois,5-7 years
4/24/2019 11:46:46,45-54,Government,Director,"110,000.00",CAD,"Edmonton, Alberta, Canada",2 - 4 years
4/24/2019 11:46:47,35-44,Academic Administration,Administrative Coordinator,"47,237",USD,"Portland, OR USA",11 - 20 years
4/24/2019 11:46:47,25-34,Higher Education,Program Assistant,46000,USD,"Boston, MA, USA",5-7 years
4/24/2019 11:46:47,55-64,IT,Security Administrator,"69,000",USD,"Minneapolis, Mn, USA",31 - 40 years
4/24/2019 11:46:49,45-54,Public Utilities,Human Resources Manager,145000,USD,"Palm Springs, CA, USA",21 - 30 years
4/24/2019 11:46:50,25-34,Mental Health/Behavioral Health,Alumni Coordinator/Discharge Planner,"50,000",USD,"Costa Mesa, CA, USA",5-7 years
4/24/2019 11:46:51,35-44,Associations,Membership and Operations Manager,60000,USD,"Washington, DC",11 - 20 years
4/24/2019 11:46:51,25-34,Marketing,Marketing Coordinator,"40,000",USD,"Des Moines, Iowa United States",5-7 years
4/24/2019 11:46:51,25-34,,Administrative Associate to the Chair,"32,000",USD,"Tallahassee, FL, USA",5-7 years
4/24/2019 11:46:55,35-44,Education,College Counselor,65000,USD,Massachusetts/USA,11 - 20 years
4/24/2019 11:46:56,45-54,Early Education,IT Service Desk Analyst,59000,USD,"Watertown, MA, USA",21 - 30 years
4/24/2019 11:46:56,35-44,Advertising,Account director,48500,GBP,"London, UK",11 - 20 years
4/24/2019 11:46:58,35-44,Clinical Research,Program Manager,65000,USD,Charleston/SC/US,8 - 10 years
4/24/2019 11:46:58,35-44,advertising,designer,65000,USD,Chicago,8 - 10 years
4/24/2019 11:46:58,55-64,Education,Associate Professor of Management and Leadership,"$168,100.00 (base salary)",USD,"Fort Worth, TX, USA",21 - 30 years
4/24/2019 11:47:00,35-44,Consumer Packaged Goods,Marketing Associate,45000,USD,Chicago Suburbs,8 - 10 years
4/24/2019 11:47:00,35-44,Manufacturing,Scientist,"80,000",USD,,11 - 20 years
4/24/2019 11:47:00,25-34,Architecture,Architectural Technician,50000,CAD,"Hamilton, Ontario, Canada",5-7 years
4/24/2019 11:47:03,25-34,Tech/Startups (Creative focused team),"Manager, Creative Content","110,000",USD,NYC,5-7 years
4/24/2019 11:47:05,35-44,Software,Scientist,140000,USD,"Boulder, CO",11 - 20 years
4/24/2019 11:47:05,35-44,Research,Research Program Manager,"95,000",USD,Providence RI,11 - 20 years
4/24/2019 11:47:06,45-54,Government,Engineering Manager,"$155,000",USD,Fairbanks/Alaska/USA,31 - 40 years
4/24/2019 11:47:06,25-34,Higher Ed HR,Benefits Financial Specialist,50481,USD,Chicago/IL/USA,5-7 years
4/24/2019 11:47:06,55-64,Education ,Professor of Education,"110,000",USD,"Buffalo, NY USA",31 - 40 years
4/24/2019 11:47:07,25-34,"Nonprofit Management, Fundraising",Senior Development Manager,70000,USD,"New York, NY",5-7 years
4/24/2019 11:47:11,25-34,Coffee,coffee importer,"68,000",USD,"Portland, OR, USA",8 - 10 years
4/24/2019 11:47:11,45-54,Higher Ed,Information Analyst,50000,USD,Augusta/Georgia/US,21 - 30 years
4/24/2019 11:47:12,45-54,Education,Assistant Director of Desktop Support Services,72000,USD,,21 - 30 years
4/24/2019 11:47:13,45-54,Telecom,LOA Specialist,58000,USD,Seattle/WA/USA,11 - 20 years
4/24/2019 11:47:13,35-44,Research,Health Scientist,"$90,000",USD,Atlanta GA USA,21 - 30 years
4/24/2019 11:47:15,25-34,Higher Education,HR Manager,55000,USD,"Denver, CO ",8 - 10 years
4/24/2019 11:47:19,45-54,Technology,Librarian,120000,USD,,21 - 30 years
4/24/2019 11:47:20,25-34,Writing and Editing,Jr. Project Analyst/Technical Editor,"55,550",USD,Washington DC Metro Area,2 - 4 years
4/24/2019 11:47:20,25-34,public library,adult services manager,"65,00",USD,"chicago, il",8 - 10 years
4/24/2019 11:47:21,25-34,Software,Senior Business Analyst,"98,000",USD,"Austin, TX USA",8 - 10 years
4/24/2019 11:47:23,25-34,,Program Manager,275000,USD,"New York, NY",8 - 10 years
4/24/2019 11:47:24,25-34,Healthcare,HR assistant,29100,USD,"TX, USA",2 - 4 years
4/24/2019 11:47:24,25-34,Education,Resource Development Assistant,"$58,000",USD,"NY metro area, USA",8 - 10 years
4/24/2019 11:47:27,35-44,IT,Programmer,"55,000",USD,"VA, USA",11 - 20 years
4/24/2019 11:47:27,35-44,Technology,Product Manager,83000,USD,"Eagan, Minnesota, USA",11 - 20 years
4/24/2019 11:47:37,25-34,Technology,Payroll & Benefits Manager,81000,USD,"Seattle, Washington, USA",5-7 years
4/24/2019 11:47:37,35-44,Government (federal contractor),Technical Writer/Editor,"$59,800",USD,"Warren, Michigan (I work from home) ",11 - 20 years
4/24/2019 11:47:38,35-44,media,editor,"$154,000",USD,"NYC, USA",11 - 20 years
4/24/2019 11:47:40,35-44,Legal,Legal assistant,"$38,000",USD,"Fort Lauderdale, Florida, USA",8 - 10 years
4/24/2019 11:47:40,45-54,Power Utility ,Director of Account Based Marketing,"135,000.00",USD,"Providence, RI, USA",21 - 30 years
4/24/2019 11:47:40,25-34,Health,General Practitioner (GP),"68,000",GBP,"Yorkshire, UK",8 - 10 years
4/24/2019 11:47:40,65 or over,IT,Web developer,$68K,USD,Los Angeles CA,41 years or more
4/24/2019 11:47:40,35-44,Law,Legal assistant,"$79,000",USD,"Chicago, IL, USA",21 - 30 years
4/24/2019 11:47:40,35-44,,Editor ,60000,USD,Cape Elizabeth/ME/USA,11 - 20 years
4/24/2019 11:47:44,25-34,Fintech,Corporate Social Responsibility Manager,1760000,Other,India,8 - 10 years
4/24/2019 11:47:46,25-34,Medicine,Pharmacist,"120,000",USD,Boston,5-7 years
4/24/2019 11:47:46,35-44,Museum Exhibit Design,Dir Exhibit Experience,90K,USD,"Queens, NY",11 - 20 years
4/24/2019 11:47:47,35-44,IT,UX Designer,85000,USD,"Madison, WI, USA",21 - 30 years
